,year,real_gdp_growth,corporate_profit_after_tax,population_growth,unemployment_rate,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp,president_party,real_gdp,adjusted_corporate_profit,senate_majority,house_majority
1,1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
2,1978,0.060779332,190.742,1.05957308,6.1,3558378,4325029,70141112,67558494,640405,15.1,472395,11.139,14228637,4593741,9634896,6.8,21.061,9064076,3564360,5499716,5.276,13.417,5164561,7.645,26.833,326348,331478,1820180,1,7058.92,0.027021414,1,1
3,1979,0.026566954,221.197,1.103576565,5.8,3691520,4484880,74603825,72468330,616157,13.971,466802,10.585,13672711,4356672,9316039,6.012,18.867,9396651,3253627,6143024,4.49,12.967,4276060,5.901,25.933,330034,334542,1787799,1,7246.454,0.030524861,1,1
4,1980,-0.007750687,194.437,0.959589923,6.9,3739076,4550299,74985039,74783479,578738,12.81,514155,11.38,11766595,4059305,7707290,5.428,15.734,11365366,3491752,7873614,4.669,15.198,401229,0.537,30.395,369130,374135,1938877,1,7190.289,0.027041611,1,1
5,1981,0.029686707,200.097,0.981415437,7.2,3768112,4611047,75707261,75335963,586628,12.811,522871,11.418,12123120,4577047,7546073,6.076,16.092,11375394,3487213,7888181,4.629,15.1,747726,0.993,30.199,377121,383413,1998040,0,7403.745,0.027026458,0,1
6,1982,-0.010107452,183.28,0.953317566,9.3,3741696,4616757,74885775,75245261,575099,12.462,570963,12.373,11833257,4227649,7605608,5.618,15.726,12542932,3854042,8688890,5.122,16.669,-709675,-0.943,31.452,406273,412208,2220580,0,7328.912,0.025007805,0,1
7,1983,0.032684797,193.299,0.914378513,10.2,3830488,4712019,73981735,74414676,624231,13.382,529411,11.35,12223590,4480846,7742744,6.021,16.426,13107031,4109271,8997760,5.522,17.614,-883441,-1.187,32.853,363038,370048,2097192,0,7568.456,0.025540084,0,1
8,1984,0.079965319,220.406,0.865817336,7.7,4001129,4903678,78739690,76280111,698764,14.531,509075,10.586,14886021,5225059,9660962,6.85,19.515,9963978,3628357,6335621,4.757,13.062,4922043,6.453,26.125,364739,371116,2067677,0,8173.67,0.026965366,0,1
9,1985,0.036839877,204.591,0.886129041,7.3,4072907,4986158,81691290,80228092,683242,13.817,600463,12.143,14942649,5189724,9752925,6.469,18.625,12015537,4847264,7168273,6.042,14.977,2927112,3.648,29.953,431658,440691,2816090,0,8474.787,0.024141138,0,1
10,1986,0.037020045,171.227,0.924164157,7.1,4157322,5112167,83737941,82651762,710987,14.083,583658,11.561,14960805,5543131,9417674,6.707,18.101,12780349,4368620,8411729,5.286,15.463,2180456,2.638,30.926,414735,422563,2550865,0,8788.524,0.019483021,0,1
